name,issns,active,withdrawn_date,withdrawal_reason
"Ciencia, docencia y tecnología",1851-1716,true,,
Ciencia del suelo,1850-2067,true,,
Historia de la educación - anuario,2313-9277,true,,
Análisis filosófico,1851-9636,true,,
Revista americana de medicina respiratoria,1852-236X,true,,
Memoria americana,1851-3751,true,,
Revista argentina de reumatología,0327-4411;2362-3675,true,,
Revista de enseñanza de la física,0326-7091;2250-6101,true,,
Estudios económicos,2525-1295,true,,
Praxis educativa,0328-9702;2313-934X,true,,
Revista del Museo de Antropología,1852-4826;1852-060X,true,,
Olivar,1852-4478,true,,
Intersecciones en antropología,1850-373X,true,,
Pampa (Santa Fe),2314-0208,true,,
Salud(i)Ciencia,1667-8990;1667-8682,true,,
Lilloa,0075-9481;2346-9641,true,,
Intersecciones en comunicación,2250-4184,true,,
Costos y gestión,2545-8329,true,,
Interdisciplinaria,1668-7027,false,2024-03-27,deceased in SciELO collection arg
La trama de la comunicación,1668-5628,false,2024-03-27,deceased in SciELO collection arg
Papers in physics,1852-4249,false,2024-03-27,deceased in SciELO collection arg
Latin American journal of sedimentology and basin analysis,1851-4979,false,2024-03-27,deceased in SciELO collection arg
Propuesta educativa,1995-7785,false,2024-03-27,deceased in SciELO collection arg
Avances del Cesor,1514-3899;2422-6580,true,,
A y P continuidad,2362-6089;2362-6097,true,,
Quinto sol,1851-2879,true,,
SaberEs,1852-4222;1852-4418,true,,
Revista de historia americana y argentina,2314-1549,true,,
Folia Histórica del Nordeste,2525-1627;0325-8238,true,,
Revista Universitaria de Geografía,1852-4265,true,,
CELEHIS (Mar del Plata),2313-9463,true,,
Revista de la Sociedad Entomológica Argentina,0373-5680;1851-7471,true,,
Revista argentina de cardiología,1850-3748,true,,
El taco en la brea,2362-4191,true,,
Revista de la Asociación Argentina de Ortopedia y Traumatología,1852-7434,true,,
Revista Teología,2683-7307,true,,
RIA. Revista de investigaciones agropecuarias,1669-2314,true,,
Nuevo Itinerario,1850-3578,true,,
Educación Física y Ciencia,2314-2561,true,,
Revista Electrónica de Derecho Internacional Contemporáneo,2618-303X,true,,
Temas de historia argentina y americana,2618-1924,true,,
Hematología,2250-8309,true,,
Revista Eurolatinoamericana de Derecho Administrativo,2362-583X,true,,
Revista de geología aplicada a la ingeniería y al ambiente,2422-5703,true,,
Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba,1852-1568,false,2024-10-04,deceased in SciELO collection arg
Revista electrónica de investigación en educación en ciencias,1850-6666,true,,
Synthesis (La Plata),1851-779X;0328-1205,true,,
Arquisur revista,2250-4206,true,,
Prudentia Iuris,2524-9525,true,,
Estudios Socioterritoriales,1853-4392,true,,
Revista de la Sociedad Argentina de Diabetes,0325-5247;2346-9420,true,,
Serie correlación geológica,1666-9479,true,,
"Ciclos en la historia, la economía y la sociedad",1851-3735,true,,
Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología,1851-0086;1850-9959,true,,
Sociedad y religión,1853-7081;0326-9795,true,,
Revista Argentina de Salud Pública,1853-810X;1852-8724,true,,
Clío y asociados,2362-3063,true,,
Revista argentina de microbiología,0325-7541;1851-7617,true,,
Recial,2718-658X,true,,
Mora (Buenos Aires),1853-001X,true,,
Práctica arqueológica,2618-2874,true,,
Mundo agrario,1515-5994,true,,
Biología acuática,1668-4869,true,,
Respirar,2953-3414,true,,
"Revista de nefrologia, dialisis y trasplante",2346-8548,true,,
"Revista psicodebate: psicología, cultura y sociedad",2451-6600,true,,
El hornero,1850-4884;0073-3407,true,,
Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos,1853-3523,true,,
Cuaderno urbano,1853-3655,true,,
Historia & Guerra,2796-8650,true,,
Revista FAVE. Sección Ciencias veterinarias,2362-5589,true,,
Andes,1668-8090,true,,
Cuadernos del CILHA,1852-9615,true,,
Tópicos,1668-723X;1666-485X,true,,
Diaeta,1852-7337,true,,
Revista del Museo Argentino de Ciencias Naturales,1853-0400,true,,
Multequina,1852-7329,true,,
Revista argentina de estudios de juventud,1852-4907,true,,
Revista de Psicología,2469-2050,true,,
Tábano,2591-572X,true,,
Acta bioquímica clínica latinoamericana,0325-2957;1851-6114,true,,
Revista agronómica del noroeste argentino,2314-369X;0080-2069,false,2022-10-26,deceased in SciELO collection arg
Revista IRICE,2618-4052,true,,
Mastozoología neotropical,1666-0536;0327-9383,true,,
Bioquímica y Patología Clínica,2684-0359,true,,
Revista veterinaria,1669-6840,true,,
Revista de educación en biología,2344-9225,true,,
Quid 16. Revista del Área de Estudios Urbanos,2250-4060,true,,
Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo,1853-8665,true,,
Revista de Investigación del Departamento de Humanidades y Ciencias Sociales,2250-8139,true,,
Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy,1668-8104,true,,
Revista de la Facultad de Ciencias Económicas,1668-6365,true,,
Espacios en blanco. Serie indagaciones,2313-9927;1515-9485,true,,
Boletín de Estética,2408-4417,true,,
Agriscientia,1668-298X,true,,
BAG. Journal of basic and applied genetics,1852-6233,true,,
Argentinian journal of respiratory and physical therapy,2618-4095,true,,
Archivos argentinos de pediatría,0325-0075;1668-3501,true,,
Anuario Centro de Estudios Económicos de la Empresa y el Desarrollo,2545-8299,true,,
Scripta Mediaevalia,1851-8753;2362-4868,true,,
Etcétera,2618-4281,true,,
Electronic Journal of Biotechnology,0717-3458,false,2017-04-20,suspended in SciELO collection chl
Revista chilena de cirugía,0718-4026,false,2019-05-02,deceased in SciELO collection chl
Boletín chileno de parasitología,0365-9402,false,2002-01-01,deceased in SciELO collection chl
Revista geológica de Chile,0716-0208,false,2008-07-01,deceased in SciELO collection chl
Cuadernos de economía,0717-6821,false,2010-11-01,deceased in SciELO collection chl
Parasitología latinoamericana,0717-7712,false,2008-12-01,deceased in SciELO collection chl
Revista de la ciencia del suelo y nutrición vegetal,0718-2791,false,2010-01-01,deceased in SciELO collection chl
Archivos de medicina veterinaria,0301-732X,false,2017-02-01,deceased in SciELO collection chl
Parasitología al día,0716-0720,false,2001-07-01,deceased in SciELO collection chl
Investigaciones marinas,0717-7178,false,2007-11-01,deceased in SciELO collection chl
Latin american journal of economics,0719-0433,false,2017-03-01,deceased in SciELO collection chl
Journal of soil science and plant nutrition,0718-9516,false,2019-01-01,deceased in SciELO collection chl
Ciencia & trabajo,0718-2449,false,2020-02-11,suspended in SciELO collection chl
"Revista clínica de periodoncia, implantología y rehabilitación oral",0719-0107,false,2020-04-24,deceased in SciELO collection chl
Ciencia e investigación agraria,0718-1620,false,2020-06-11,deceased in SciELO collection chl
Boletín de la Sociedad Chilena de Química,0366-1644,false,2002-01-01,deceased in SciELO collection chl
Revista chilena de anatomía,0716-9868,false,2002-01-01,deceased in SciELO collection chl
Cultura-hombre-sociedad,0716-1557;0719-2789,false,2020-08-20,deceased in SciELO collection chl
Revista chilena de pediatría,0370-4106,false,2021-03-11,deceased in SciELO collection chl
Journal of theoretical and applied electronic commerce research,0718-1876,false,2021-03-11,deceased in SciELO collection chl
Agricultura Técnica,0365-2807,false,2008-07-01,deceased in SciELO collection chl
Revista chilena de radiología,0717-9308,false,2024-06-26,deceased in SciELO collection chl
Revista Facultad de Ingeniería - Universidad de Tarapacá,0718-1337,false,2006-01-01,deceased in SciELO collection chl
