name,issns,active,withdrawn_date,withdrawal_reason
Mizan Law Review,1998-9881;2309-902X,true,,
South African Journal of Science,0038-2353;1996-7489,true,,
Western Indian Ocean Journal of Marine Science,0856-860X;2683-6416,true,,
