name,issns,active,withdrawn_date,withdrawal_reason
Abraka Humanities Review,2795-3726;0795-1639,true,,
African Crop Science Journal,2072-6589;1021-9730,true,,
African Journal of Aquatic Science,1727-9364;1608-5914,true,,
African Journal of Chemical Education,2227-5835,true,,
African Journal of Current Medical Research,2579-0242,true,,
African Journal of Democracy and Governance,2313-6529,true,,
African Journal of Economic Review,2453-5966;1821-8148,true,,
African Journal of Economics and Business Research,2959-3549;2959-3530,true,,
"African Journal of Education, Science and Technology",2309-9240,true,,
African Journal of Educational Research and Development,2006-5450,true,,
African Journal of Educational Studies in Mathematics and Sciences,2508-1128;0855-501X,true,,
African Journal of Empirical Research,2709-2607,true,,
African Journal of Environmental Science and Technology,1996-0786,true,,
African Journal of Gastroenterology and Hepatology,2735-5497;2735-5489,true,,
African Journal of Infectious Diseases,2006-0165,true,,
African Journal of Laboratory Haematology and Transfusion Science,2814-0605;2814-0591,true,,
"African Journal of Library, Archives and Information Science",0795-4778,true,,
African Journal of Marine Science,1814-2338;1814-232X,true,,
African Journal of Paediatric Nephrology,2354-4325,true,,
"African Journal of Procurement, Logistics & Supply Chain Management",2676-2730,true,,
African Journal of Range and Forage Science,1727-9380;1022-0119,true,,
African Journal of Reproductive Health,1118-4841,true,,
African Journal of Sustainable Development,2315-6317,true,,
"African Journal of Traditional, Complementary and Alternative Medicines",0189-6016,true,,
African Journal of Urology,1110-5704,true,,
African Journal on Conflict Resolution,2309-737X;1562-6997,true,,
African Research Review,2070-0083;1994-9057,true,,
African Review of Economics and Finance,2042-1478,true,,
African Safety Promotion: A Journal of Injury and Violence Prevention,1728-774X,true,,
African Scientific Annual Review,3007-0902,true,,
Afrika Statistika,2316-090X,true,,
Afrique Science: Revue Internationale des Sciences et Technologie,1813-548X,true,,
Agricultural Economics and Extension Research Studies,2714-3147,true,,
Agrosearch,1117-9996,true,,
Albahit Journal of Applied Sciences,2708-8936;2708-244X,true,,
Alexandria Journal of Medicine,2090-2948;1110-0834,true,,
Algerian Journal of Biosciences,2716-9375;2773-2916,true,,
Alternatives Rurales,2421-9037;1638-2714,true,,
Annals of Biomedical Sciences,1596-6569,true,,
Annals of Ibadan Postgraduate Medicine,1595-5664;1597-1627,true,,
Annals of Medical and Health Sciences Research,2141-9248,true,,
ANSU Journal of Arts And Social Sciences,2315-7178,true,,
Archives of Medical and Biomedical Research,1694-2078;1694-2086,true,,
Attahadi Medical Journal,3078-6991,true,,
Babcock University Medical Journal,2756-4657;2465-6666,true,,
Bayero Journal of Evidence-Based Physiotherapy,2489-0251,true,,
Bayero Journal of Nursing and Health Care,2756-6501;2659-1464,true,,
Berhan International Research Journal of Science and Humanities,3006-578X;2414-2794,true,,
Biological and Environmental Sciences Journal for the Tropics,2645-3142;0794-9057,true,,
Biopolymer Applications Journal,2800-1729,true,,
BNR Economic Review,2706-8587;2410-678X,true,,
Bodija Journal,2811-2369;0795-8188,true,,
Business Education Journal,2665-0681;2546-2180,true,,
Cahiers des Religions Africaines,2960-0464;2960-0456,true,,
ChemSearch Journal,2384-6208;2276-707X,true,,
COAST: Journal of the School of Science Olusegun Agagu University of Science and Technology,2714-3716,true,,
"Contextes Didactiques, Linguistiques et Culturels",2992-0515;2992-0418,true,,
Creative Artist: A Journal of Theatre and Media Studies,2006-6910,true,,
CRP Review,2957-4668;2957-465X,true,,
