name,issns,active,withdrawn_date,withdrawal_reason
Allpanchis,0252-8835;2708-8960,true,,
Almanack,2236-4633,true,,
Alpha,0716-4254;0718-2201,true,,
Alpha International Journal.,3091-1761,true,,
Alquipir,1698-0557;2792-4416,true,,
Alteridad,1390-8642;1390-325X,true,,
Alteridades,0188-7017;2448-850X,true,,
Alternancia,2710-0936,true,,
Alternativa Financiera,1819-5059;2707-7403,true,,
Alternativas en psicología,1405-339X;2007-5251,true,,
Alternativas. Cuadernos de Trabajo Social,1133-0473;1989-9971,true,,
Alternautas,2057-4924,true,,
Altre Modernità. Rivista di studi letterari e culturali,2035-7680,true,,
Amadeus International Multidisciplinary Journal,2525-8281,true,,
Amaltea. Revista de mitocritica,1989-1709,true,,
Amazônia,1980-5128;2317-5125,true,,
"Ambiente, comportamiento y sociedad",2709-829X,true,,
Ambientes,2674-6816,true,,
Ambigua,2386-8708,true,,
Ámbitos. Revista Internacional de Comunicación,1139-1979;1988-5733,true,,
América,0982-9237;2427-9048,true,,
América Crítica,2532-6724,true,,
América Latina en la historia económica,1405-2253;2007-3496,true,,
América Latina hoy,1130-2887;2340-4396,true,,
Amerika,2107-0806,true,,
Amnis,1764-7193,true,,
Anacronismo e irrupción,2250-4982,true,,
Añada,2695-8643;2695-8481,true,,
Anais do Museu Paulista,0101-4714;1982-0267,true,,
Analecta malacitana,0211-934X;1697-4239,true,,
Analecta veterinaria,0365-5148;1514-2590,true,,
Anales,0075-7411;2591-6386,true,,
Anales (Asociación Física Argentina),0327-358X;1850-1168,true,,
Anales Cervantinos,0569-9878;1988-8325,true,,
Anales Científicos,0255-0407;2519-7398,true,,
Anales de antropología,0185-1225;2448-6221,true,,
Anales de arqueología y etnología,0325-0288;2591-3093,true,,
Anales de biología,1138-3399;1989-2128,true,,
Anales de derecho,1989-5992;0210-539X,true,,
Anales de documentación,1575-2437;1697-7904,true,,
Anales de Edificación,2444-1309,true,,
Anales de geografía de la Universidad Complutense,0211-9803;1988-2378,true,,
"Anales de historia antigua, medieval y moderna.",1514-9927;1853-1555,true,,
Anales de historia del arte,0214-6452;1988-2491,true,,
Anales de investigación en arquitectura,2301-1505;2301-1513,true,,
Anales de la Academia de Ciencias de Cuba,2304-0106,true,,
Anales de la Facultad de Medicina,1025-5583;1609-9419,true,,
Anales de la Facultad de Medicina,2301-1254;0365-2297,true,,
Anales de la Real Academia Nacional de Farmacia,1697-4271;1697-428X,true,,
Anales de la Universidad de Alicante. Historia medieval,0212-2480;2695-9747,true,,
Anales de Lingüística.,0325-3597;2684-0669,true,,
Anales de literatura española,0212-5889;2695-4257,true,,
Anales de psicología,0212-9728;1695-2294,true,,
Anales de teología ( En línea),0717-4152;2735-6345,true,,
Anales del Instituto de Actuarios Españoles,0534-3232;2531-2308,true,,
Anales del Instituto de Arte Americano e Investigaciones Estéticas Mario J. Buschiazzo,0328-9796;2362-2024,true,,
Anales del Instituto de Investigaciones Estéticas. UNAM,0185-1276;1870-3062,true,,
Anales del Instituto de la Patagonia,0718-6932;0718-686X,true,,
Anales del Jardín Botánico de Madrid,0211-1322;1988-3196,true,,
Anales del Seminario de Historia de la Filosofía,0211-2337;1988-2564,true,,
Anales del Sistema Sanitario de Navarra,1137-6627;2340-3527,true,,
Anales en gerontología,1659-0813;2215-4647,true,,
Análise psicológica,0870-8231;2182-2980,true,,
Anàlisi,0211-2175;2340-5236,true,,
Análisis,2386-8066,true,,
Análisis económico,0185-3937;2448-6655,true,,
Análisis filosófico,0326-1301;1851-9636,true,,
Analisis y modificacion de conducta,0211-7339;2173-6855,true,,
Analítica,2805-1815,true,,
Anamorphosis,2446-8088,true,,
Anaquel de estudios árabes,1130-3964;1988-2645,true,,
Anatomía Digital,2697-3391,true,,
Anclajes,0329-3807;1851-4669,true,,
Andamios,1870-0063;2594-1917,true,,
Andares: Revista de Derechos Humanos y de la Naturaleza.,2953-6782,true,,
Andean geology,0718-7106;0718-7092,true,,
Anduli,1696-0270;2340-4973,true,,
Angiología,0003-3170;1695-2987,true,,
Angiologia e cirurgia vascular,1646-706X;2183-0096,true,,
Aniki,2183-1750,true,,
Animal biodiversity and conservation,1578-665X;2014-928X,true,,
Ankulegi,1138-347X;2444-5703,true,,
Anos 90,0104-236X;1983-201X,true,,
Ansiedad y estrés,1134-7937;2174-0437,true,,
ANTEC,2521-8565;2616-681X,true,,
Anthropía,2076-0574,true,,
Antigua Matanza,2545-8701,true,,
Antiguedad y cristianismo,0214-7165;1989-6182,true,,
Antiguos jesuitas en Iberoamérica,2314-3908,true,,
Antíteses,1984-3356,true,,
Antrópica. Revista de Ciencias Sociales y Humanidades,2448-5241,true,,
Antropolítica: Revista Contemporânea de Antropologia,2179-7331;1414-7378,true,,
Antropológicas,0873-819X;2182-2913,true,,
Anuari de filologia. Antiqva e Mediaevalia,2014-1386,true,,
Anuari de filologia. Estudis de lingüística,2014-1408,true,,
Anuari de filologia. Literatures contemporànies,2014-1416,true,,
Anuari del conflicte social,2014-6760,true,,
Anuario,2215-2806;2215-2873,true,,
Anuario (Centro de Estudios Económicos de la Empresa y el Desarrollo),1852-5784;2545-8299,true,,
Anuário Antropológico,0102-4302;2357-738X,true,,
Anuario colombiano de historia social y de la cultura,0120-2456;2256-5647,true,,
Anuario da Facultade de Dereito da Universidade da Coruña,1138-039X;2530-6324,true,,
Anuario de arqueología.,1852-8554;2684-0138,true,,
Anuario de Derecho Municipal,1888-7392;2952-0266,true,,
Anuario de derechos humanos,0718-2058;0718-2279,true,,
Anuario de estudios americanos,0210-5810;1988-4273,true,,
Anuario de Estudios Centroamericanos,0377-7316;2215-4175,true,,
Anuario de estudios filológicos,0210-8178;2660-7301,true,,
Anuario de estudios medievales,0066-5061;1988-4230,true,,
Anuario de investigación de la comunicación CONEICC,2594-0880,true,,
Anuario de investigación en literatura infantil y juvenil,1578-6072;2660-7395,true,,
Anuario de la Escuela de Historia virtual,1666-5856;1853-7049,true,,
"Anuario de la Facultad de Derecho, Universidad de Extremadura",2695-7728;0213-988X,true,,
Anuario de letras modernas,0186-0526;2683-3352,true,,
Anuario de letras. Lingüística y filología,2448-6418;2448-8224,true,,
Anuario de psicología,0066-5126;1988-5253,true,,
Anuario de Psicología Jurídica,1133-0740;2174-0542,true,,
"Anuario del Centro de Estudios Históricos ""Profesor Carlos S. A. Segreti"".",1666-6836;2683-9164,true,,
Anuario del Departamento de Historia y Teoría del Arte,1130-5517;2530-3562,true,,
Anuario del Instituto de Historia Argentina,1668-950X;2314-257X,true,,
Anuario Digital,0327-215X;1853-8835,true,,
Anuário do Instituto de Geociências,0101-9759;1982-3908,true,,
"Anuario Electrónico de Estudios en Comunicación Social ""Disertaciones""",1856-9536,true,,
Anuario Escuela de Archivología,1852-6446,true,,
Anuario Histórico Ibérico. Anuário Histórico Ibérico,2720-5894;2956-414X,true,,
Anuario iberoamericano de derecho internacional penal,2346-3120,true,,
Anuario jurídico y económico escurialense,1133-3677;2340-3780,true,,
Anuario mexicano de derecho internacional,1870-4654;2448-7872,true,,
Anuario Musical,0211-3538;1988-4125,true,,
Anuario tarea,2362-6070;2469-0422,true,,
Anuario ThinkEPI,1886-6344;2564-8837,true,,
Anuario turismo y sociedad,0120-7555;2346-206X,true,,
ApareSER. Revista de Filosofía,2992-8621,true,,
Apertura,1665-6180;2007-1094,true,,
Ápice,2531-016X,true,,
Aporte Santiaguino,2070-836X;2616-9541,true,,
Aportes para la integración latinoamericana,1515-5390;2468-9912,true,,
Aposta. Revista de Ciencias Sociales,1696-7348,true,,
Applied Business and Management,2183-5594,true,,
Applied general topology,1576-9402;1989-4147,true,,
Applied sciences in dentistry,0719-5761,true,,
Aprendo con NooJ.,2718-8574,true,,
Apuntes Contables,1657-7175;2619-4899,true,,
Apuntes de bioética,2078-4457;2663-4910,true,,
Apuntes de economía y sociedad,2709-7005,true,,
Apuntes de psicología,0213-3334;1989-6441,true,,
Apuntes del Cenes,0120-3053;2256-5779,true,,
Apuntes universitarios,2225-7136;2304-0335,true,,
Apunts. Educació física i esports,1577-4015;2014-0983,true,,
AQUA-LAC,1688-2873;1688-2881,true,,
AquaTechnica,2737-6095,true,,
Aquichan,1657-5997;2027-5374,true,,
Ar@cne,1578-0007,true,,
Ara,1997-2520;2014-4458,true,,
Arandu-UTIC,2311-7559;2409-2401;2311-7759,true,,
Arbitraje,1888-5373;2603-9281,true,,
Árboles y rizomas,0719-9805,true,,
Arbor,0210-1963;1988-303X,true,,
Arcana Scientific Journal.,3121-2557,true,,
Arcanum.,3121-2735,true,,
Archipélies,2777-5909,true,,
"Architecture, Technology and Sustainability (ArTeS)",2953-6499,true,,
Archives of computational methods in engineering,1134-3060;1886-1784,true,,
"Archives on Food, Culture and Nutrition",3020-3635;3020-8734,true,,
Archivo español de arqueología,0066-6742;1988-3110,true,,
Archivo español de arte,0004-0428;1988-8511,true,,
Archivo médico de Camagüey,1025-0255,true,,
Archivo Teológico Granadino,0210-1629;2695-4397,true,,
Archivo Vallejo,2616-9894;2663-9254,true,,
Archivos de cardiología de México,1405-9940;1665-1731,true,,
